iter	Passed	Remaining
381	1031176	318530
382	1034172	315922
383	1037089	313287
384	1039604	310531
385	1042021	307747
386	1044956	305116
387	1047855	302473
388	1049700	299528
389	1052404	296832
390	1055144	294145
391	1057771	291426
392	1060759	288807
393	1063367	286083
394	1066011	283370
395	1068540	280626
396	1070832	277823
397	1073155	275029
398	1076181	272416
399	1078933	269733
400	1081478	266998
401	1084247	264318
402	1086700	261563
403	1089468	258883
404	1091874	256118
405	1094569	253422
406	1097304	250735
407	1099804	247995
408	1102330	245261
409	1105183	242601
410	1107733	239874
411	1109987	237084
412	1112430	234337
413	1115104	231640
414	1118049	228998
415	1120925	226340
416	1123578	223637
417	1126206	220930
418	1128390	218137
419	1130861	215402
420	1132899	212586
421	1136440	210053
422	1138419	207229
423	1141027	204523
424	1143509	201795
425	1145833	199041
426	1148761	196392
427	1151470	193705
428	1154208	191022
429	1156841	188323
430	1159321	185599
431	1162050	182915
432	1164831	180239
433	1167703	177576
434	1169980	174824
435	1172343	172087
436	1174539	169327
437	1177218	166638
438	1179762	163930
439	1182457	161244
440	1185193	158563
441	1187767	155860
442	1190345	153159
443	1192904	150456
444	1195734	147787
445	1198387	145096
446	1201161	142419
447	1203819	139729
448	1206360	137025
449	1208929	134325
450	1211381	131613
451	1213807	128899
452	1216497	126214
453	1219212	123532
454	1221852	120842
455	1224485	118152
456	1226904	115441
457	1229214	112722
458	1232131	110059
459	1234510	107348
460	1237002	104648
461	1239313	101934
462	1241665	99225
463	1244113	96526
464	1246514	93823
465	1249122	91137
466	1251476	88434
467	1254210	85757
468	1257097	83091
469	1259696	80406
470	1262104	77709
471	1264891	75035
472	1267719	72364
473	1270317	69679
474	1272525	66975
475	1274821	64276
476	1277611	61603
477	1280009	58912
478	1282234	56214
479	1284698	53529
480	1287238	50847
481	1289759	48165
482	1292246	45482
483	1294720	42800
484	1296957	40112
485	1299622	37437
486	1302236	34761
487	1304941	32088
488	1307447	29410
489	1310135	26737
490	1312644	24060
491	1315333	21387
492	1317453	18706
493	1319782	16029
494	1322384	13357
495	1324891	10684
496	1327786	8014
497	1330171	5342
498	1332574	2670
499	1335156	0
