iter	Logloss
0	0.6866166608
1	0.6795231918
2	0.6737077481
3	0.6684061039
4	0.6636606645
5	0.6593068654
6	0.6560274461
7	0.6524831382
8	0.6493523148
9	0.6467451321
10	0.6442084668
11	0.6420992762
12	0.6398106675
13	0.638136192
14	0.6360751358
15	0.6343129468
16	0.6326387882
17	0.6310689789
18	0.6294084264
19	0.6282285881
20	0.6270479422
21	0.6258065908
22	0.6249409621
23	0.6240404959
24	0.6232808017
25	0.6226464504
26	0.6220358047
27	0.621259853
28	0.6205613169
29	0.6199425276
30	0.6190823303
31	0.6187052505
32	0.6182449041
33	0.6172972454
34	0.6168614663
35	0.6165460468
36	0.6160991497
37	0.6156998598
38	0.6149743172
39	0.6145632818
40	0.6141662191
41	0.6138957241
42	0.6136019192
43	0.6132037673
44	0.6126533437
45	0.6124096896
46	0.6121640195
47	0.6118168247
48	0.6115288052
49	0.6111575494
50	0.6108990746
51	0.6103775576
52	0.6099877323
53	0.6096305721
54	0.6093175571
55	0.6087951414
56	0.6085232029
57	0.6081398187
58	0.6077600099
59	0.6074596912
60	0.6072414021
61	0.6070802021
62	0.6068395923
63	0.6067949058
64	0.6066342418
65	0.6064597995
66	0.6062113672
67	0.6059991706
68	0.605809285
69	0.6055877778
70	0.60538051
71	0.6050834637
72	0.6049441206
73	0.6047334895
74	0.6046344297
75	0.6043661663
76	0.604097151
77	0.6040858932
78	0.6038736023
79	0.6036067863
80	0.6034144539
81	0.6031644068
82	0.6030475451
83	0.6028558646
84	0.6027310004
85	0.6025009502
86	0.6023823643
87	0.6023021404
88	0.6022318491
89	0.6022023446
90	0.6020553625
91	0.6018104489
92	0.6016589529
93	0.6015961646
94	0.6015168501
95	0.6013498393
96	0.6012065609
97	0.6010351168
98	0.6009297381
99	0.6007464457
100	0.600454268
101	0.6003570052
102	0.6001662199
103	0.6000453176
104	0.5998314588
105	0.5996502061
106	0.5996032794
107	0.5994453535
108	0.5993672614
109	0.5992924442
110	0.5991130966
111	0.5989602186
112	0.5989004273
113	0.598893969
114	0.5988389473
115	0.5986469674
116	0.5984909108
117	0.5983881286
118	0.5982735839
119	0.5981828044
120	0.5979504284
121	0.597863222
122	0.5977152473
123	0.5975413841
124	0.5973628751
125	0.5972710327
126	0.5971408668
127	0.5970287633
128	0.5969347507
129	0.5969022789
130	0.5968283214
131	0.5968012129
132	0.5967545545
133	0.5966950311
134	0.5966571357
135	0.5965157188
136	0.5964409835
137	0.5964144993
138	0.5963528044
139	0.5962453082
140	0.5961938703
141	0.5960630905
142	0.5959644834
143	0.595886964
144	0.5958239731
145	0.5957964199
146	0.5957928397
147	0.5956930554
148	0.5956856438
149	0.59555023
150	0.5954875255
151	0.5953362496
152	0.5952909045
153	0.5952127056
154	0.5951109481
155	0.5950179642
156	0.5949253332
